i,j,score
32,6,99
6,32,99
32,7,19
7,32,19
32,8,18
8,32,18
32,9,128
9,32,128
32,10,67
10,32,67
32,11,40
11,32,40
32,12,63
12,32,63
32,13,64
13,32,64
32,14,107
14,32,107
32,15,97
15,32,97
32,16,35
16,32,35
32,17,94
17,32,94
32,18,77
18,32,77
32,19,66
19,32,66
32,20,14
20,32,14
32,21,120
21,32,120
32,22,112
22,32,112
32,23,34
23,32,34
32,24,38
24,32,38
32,25,45
25,32,45
32,26,21
26,32,21
32,27,115
27,32,115
32,28,54
28,32,54
32,29,88
29,32,88
32,30,58
30,32,58
32,31,93
31,32,93
32,32,0
33,0,193
0,33,193
33,1,194
1,33,194
33,2,59
2,33,59
33,3,157
3,33,157
33,4,155
4,33,155
33,5,55
5,33,55
33,6,159
6,33,159
33,7,22
7,33,22
33,8,23
8,33,23
33,9,208
9,33,208
33,10,108
10,33,108
33,11,52
11,33,52
33,12,88
12,33,88
33,13,88
13,33,88
33,14,178
14,33,178
33,15,160
15,33,160
33,16,44
16,33,44
33,17,140
17,33,140
33,18,112
18,33,112
33,19,96
19,33,96
33,20,18
20,33,18
33,21,209
21,33,209
33,22,172
22,33,172
33,23,43
23,33,43
33,24,59
24,33,59
33,25,59
25,33,59
33,26,37
26,33,37
33,27,175
27,33,175
33,28,83
28,33,83
33,29,149
29,33,149
33,30,83
30,33,83
33,31,150
31,33,150
33,32,101
32,33,101
33,33,0
34,0,71
0,34,71
34,1,76
1,34,76
34,2,31
2,34,31
34,3,68
3,34,68
34,4,67
4,34,67
34,5,32
5,34,32
34,6,68
6,34,68
34,7,22
7,34,22
34,8,16
8,34,16
34,9,75
9,34,75
34,10,44
10,34,44
34,11,32
11,34,32
34,12,46
12,34,46
34,13,50
13,34,50
34,14,73
14,34,73
34,15,67
15,34,67
34,16,28
16,34,28
34,17,66
17,34,66
34,18,61
18,34,61
34,19,50
19,34,50
34,20,12
20,34,12
34,21,78
21,34,78
34,22,71
22,34,71
34,23,32
23,34,32
34,24,37
24,34,37
34,25,38
25,34,38
34,26,19
26,34,19
34,27,73
27,34,73
34,28,45
28,34,45
34,29,64
29,34,64
34,30,47
30,34,47
34,31,75
31,34,75
34,32,51
32,34,51
34,33,74
33,34,74
34,34,0
35,0,72
0,35,72
35,1,78
1,35,78
35,2,33
2,35,33
35,3,72
3,35,72
35,4,71
4,35,71
35,5,28
5,35,28
35,6,62
6,35,62
35,7,20
7,35,20
35,8,15
8,35,15
35,9,84
9,35,84
35,10,52
10,35,52
35,11,25
11,35,25
35,12,49
12,35,49
35,13,48
13,35,48
35,14,62
14,35,62
35,15,66
15,35,66
35,16,28
16,35,28
35,17,69
17,35,69
35,18,54
18,35,54
35,19,52
19,35,52
35,20,14
20,35,14
35,21,76
21,35,76
35,22,76
22,35,76
35,23,25
23,35,25
35,24,30
24,35,30
35,25,31
25,35,31
35,26,17
26,35,17
35,27,79
27,35,79
35,28,36
28,35,36
35,29,64
29,35,64
35,30,50
30,35,50
35,31,70
31,35,70
35,32,60
32,35,60
35,33,81
33,35,81
35,34,42
34,35,42
35,35,0
36,0,103
0,36,103
36,1,96
1,36,96
36,2,47
2,36,47
36,3,80
3,36,80
36,4,89
4,36,89
36,5,35
5,36,35
36,6,83
6,36,83
36,7,20
7,36,20
36,8,16
8,36,16
36,9,100
9,36,100
36,10,65
10,36,65
36,11,31
11,36,31
36,12,59
12,36,59
36,13,58
13,36,58
36,14,89
14,36,89
36,15,84
15,36,84
36,16,32
16,36,32
36,17,82
17,36,82
36,18,68
18,36,68
36,19,57
19,36,57
36,20,15
20,36,15
36,21,110
21,36,110
36,22,89
22,36,89
36,23,28
23,36,28
36,24,40
24,36,40
36,25,33
25,36,33
36,26,18
26,36,18
36,27,95
27,36,95
36,28,48
28,36,48
36,29,83
29,36,83
36,30,50
30,36,50
36,31,80
31,36,80
36,32,72
32,36,72
36,33,95
33,36,95
36,34,45
34,36,45
36,35,50
35,36,50
36,36,0
37,0,9
0,37,9
37,1,11
1,37,11
37,2,7
2,37,7
37,3,8
3,37,8
37,4,9
4,37,9
37,5,7
5,37,7
37,6,8
6,37,8
37,7,6
7,37,6
37,8,3
8,37,3
37,9,10
9,37,10
37,10,6
10,37,6
37,11,6
11,37,6
37,12,7
12,37,7
37,13,6
13,37,6
37,14,9
14,37,9
