i,j,score
38,14,108
38,15,99
38,16,34
38,17,107
38,18,87
38,19,62
38,20,17
38,21,116
38,22,100
38,23,38
38,24,46
38,25,49
38,26,27
38,27,109
38,28,66
38,29,96
38,30,61
38,31,108
38,32,69
38,33,109
38,34,60
38,35,52
38,36,70
38,37,7
39,0,135
39,1,153
39,2,45
39,3,126
39,4,143
39,5,56
39,6,128
39,7,24
39,8,22
39,9,169
39,10,94
39,11,52
39,12,82
39,13,96
39,14,150
39,15,133
39,16,40
39,17,133
39,18,109
39,19,78
39,20,14
39,21,158
39,22,145
39,23,60
39,24,65
39,25,56
39,26,38
39,27,149
39,28,84
39,29,121
39,30,78
39,31,164
39,32,91
39,33,141
39,34,69
39,35,71
39,36,77
39,37,8
39,38,107
40,0,104
40,1,109
40,2,43
40,3,91
40,4,98
40,5,43
40,6,86
40,7,22
40,8,16
40,9,110
40,10,72
40,11,41
40,12,55
40,13,66
40,14,98
40,15,87
40,16,36
40,17,80
40,18,84
40,19,59
40,20,12
40,21,109
40,22,104
40,23,38
40,24,52
40,25,47
40,26,25
40,27,97
40,28,60
40,29,81
40,30,54
40,31,95
40,32,72
40,33,102
40,34,57
40,35,55
40,36,55
40,37,7
40,38,73
40,39,113
41,0,109
41,1,108
41,2,40
41,3,90
41,4,97
41,5,40
41,6,93
41,7,22
41,8,19
41,9,114
41,10,67
41,11,45
41,12,55
41,13,69
41,14,97
41,15,94
41,16,32
41,17,90
41,18,81
41,19,55
41,20,13
41,21,116
41,22,105
41,23,35
41,24,48
41,25,38
41,26,26
41,27,101
41,28,57
41,29,85
41,30,60
41,31,103
41,32,65
41,33,106
41,34,57
41,35,48
41,36,63
41,37,7
41,38,70
41,39,96
41,40,63
42,0,98
42,1,97
42,2,39
42,3,79
42,4,83
42,5,44
42,6,80
42,7,20
42,8,13
42,9,107
42,10,69
42,11,29
42,12,59
42,13,63
42,14,87
42,15,87
42,16,33
42,17,74
42,18,80
42,19,48
42,20,11
42,21,102
42,22,89
42,23,41
42,24,44
42,25,39
42,26,27
42,27,88
42,28,54
42,29,83
42,30,56
42,31,88
42,32,69
42,33,88
42,34,55
42,35,47
42,36,64
42,37,6
42,38,74
42,39,95
42,40,76
42,41,63
43,0,120
43,1,138
43,2,43
43,3,124
43,4,129
43,5,48
43,6,113
43,7,28
43,8,22
43,9,152
43,10,82
43,11,52
43,12,69
43,13,82
43,14,123
43,15,122
43,16,40
43,17,128
43,18,96
43,19,74
43,20,14
43,21,150
43,22,127
43,23,40
43,24,56
43,25,48
43,26,31
43,27,133
43,28,76
43,29,120
43,30,67
43,31,139
43,32,88
43,33,136
43,34,63
43,35,65
43,36,75
43,37,9
43,38,103
43,39,143
43,40,86
43,41,90
43,42,80
44,0,224
44,1,213
44,2,63
44,3,185
44,4,187
44,5,63
44,6,177
44,7,31
44,8,18
44,9,263
44,10,119
44,11,53
44,12,96
44,13,100
44,14,197
44,15,199
44,16,47
44,17,157
44,18,125
44,19,103
44,20,17
44,21,238
44,22,203
44,23,55
44,24,60
44,25,65
44,26,34
44,27,202
44,28,89
44,29,195
44,30,86
44,31,166
44,32,122
44,33,206
44,34,82
44,35,80
44,36,96
44,37,8
44,38,125
44,39,167
44,40,118
44,41,119
44,42,103
44,43,156
45,0,77
45,1,82
45,2,36
45,3,77
45,4,72
45,5,37
45,6,67
45,7,20
45,8,14
45,9,89
45,10,57
45,11,33
45,12,48
45,13,54
45,14,78
45,15,69
45,16,33
45,17,70
45,18,58
45,19,50
45,20,12
45,21,79
45,22,81
45,23,34
45,24,41
45,25,33
45,26,23
45,27,77
45,28,40
45,29,68
45,30,44
45,31,70
45,32,60
45,33,86
45,34,44
45,35,44
45,36,50
45,37,7
45,38,53
45,39,74
45,40,55
45,41,59
45,42,54
45,43,66
45,44,90
46,0,49
46,1,46
46,2,26
46,3,42
46,4,45
46,5,27
46,6,46
46,7,17
46,8,14
46,9,46
46,10,35
46,11,21
46,12,27
46,13,32
46,14,45
46,15,43
46,16,21
46,17,41
46,18,40
46,19,33
46,20,8
46,21,53
46,22,52
46,23,19
46,24,25
46,25,27
46,26,16
46,27,46
46,28,32
46,29,47
46,30,34
46,31,46
46,32,36
46,33,48
46,34,29
46,35,30
46,36,32
46,37,7
46,38,36
46,39,42
46,40,43
46,41,33
46,42,39
46,43,41
46,44,53
46,45,32
47,0,50
47,1,48
47,2,23
47,3,46
47,4,44
47,5,23
47,6,44
47,7,12
47,8,9
47,9,51
47,10,37
47,11,22
47,12,34
47,13,36
47,14,41
47,15,50
47,16,24
47,17,39
47,18,41
47,19,34
47,20,8
47,21,53
47,22,48
47,23,17
47,24,21
47,25,28
47,26,16
47,27,53
47,28,26
47,29,42
47,30,28
47,31,42
47,32,35
47,33,45
47,34,31
47,35,30
47,36,35
47,37,8
47,38,34
47,39,40
47,40,40
47,41,35
47,42,34
47,43,41
47,44,55
47,45,28
47,46,25
48,0,110
48,1,121
48,2,43
48,3,106
48,4,102
48,5,38
48,6,99
48,7,18
48,8,16
48,9,125
48,10,74
48,11,47
48,12,66
48,13,71
48,14,96
48,15,102
48,16,35
48,17,90
48,18,84
48,19,65
48,20,16
48,21,122
48,22,116
48,23,33
48,24,43
48,25,44
48,26,24
48,27,112
48,28,59
48,29,94
48,30,55
48,31,97
48,32,75
48,33,124
48,34,51
48,35,60
48,36,71
48,37,10
48,38,77
48,39,92
48,40,69
48,41,69
48,42,61
48,43,98
48,44,125
48,45,60
48,46,35
48,47,36
49,0,89
49,1,90
49,2,35
49,3,80
49,4,81
49,5,39
49,6,74
49,7,18
49,8,12
49,9,98
49,10,61
49,11,28
49,12,51
49,13,60
49,14,77
49,15,81
49,16,34
49,17,72
49,18,64
49,19,52
49,20,11
49,21,92
49,22,83
49,23,30
49,24,34
49,25,39
49,26,23
49,27,92
49,28,48
49,29,79
49,30,44
49,31,72
49,32,63
49,33,91
49,34,43
49,35,52
49,36,55
49,37,8
49,38,66
49,39,74
49,40,56
49,41,53
49,42,53
49,43,75
49,44,100
49,45,51
49,46,34
49,47,32
49,48,68
50,0,117
50,1,132
50,2,42
50,3,109
50,4,125
50,5,45
50,6,110
50,7,24
50,8,27
50,9,145
50,10,81
50,11,56
50,12,62
50,13,90
50,14,138
50,15,106
50,16,36
50,17,107
50,18,111
50,19,67
50,20,14
50,21,132
50,22,119
50,23,46
50,24,62
50,25,53
50,26,26
50,27,124
50,28,74
50,29,103
50,30,66
50,31,139
50,32,88
50,33,123
50,34,66
50,35,60
50,36,71
50,37,7
50,38,95
50,39,129
50,40,89
50,41,87
50,42,84
50,43,120
50,44,152
50,45,74
50,46,45
50,47,38
50,48,85
50,49,63
51,0,117
51,1,121
51,2,47
51,3,112
51,4,110
51,5,45
51,6,96
51,7,21
51,8,19
51,9,137
51,10,82
51,11,45
51,12,76
51,13,67
51,14,111
51,15,110
51,16,41
51,17,101
51,18,87
51,19,70
51,20,13
51,21,131
51,22,113
51,23,33
51,24,49
51,25,49
51,26,28
51,27,116
51,28,67
51,29,107
51,30,70
51,31,112
51,32,76
51,33,115
51,34,58
51,35,60
51,36,67
51,37,7
51,38,83
51,39,115
51,40,84
51,41,80
51,42,76
51,43,113
51,44,137
51,45,61
51,46,47
51,47,43
51,48,85
51,49,62
51,50,109
52,0,63
52,1,58
52,2,26
52,3,58
52,4,56
52,5,29
52,6,54
52,7,16
52,8,13
52,9,64
52,10,43
52,11,25
52,12,40
52,13,38
52,14,65
52,15,54
52,16,23
52,17,54
52,18,50
52,19,37
52,20,12
52,21,64
52,22,58
52,23,22
52,24,22
52,25,26
52,26,18
52,27,56
52,28,38
52,29,54
52,30,40
52,31,49
52,32,50
52,33,61
52,34,36
52,35,36
52,36,41
52,37,6
52,38,48
52,39,53
52,40,44
52,41,45
52,42,42
52,43,49
52,44,67
52,45,32
52,46,28
52,47,24
52,48,45
52,49,32
52,50,52
52,51,47
53,0,178
53,1,172
53,2,59
53,3,156
53,4,153
53,5,53
53,6,150
53,7,22
53,8,22
53,9,191
53,10,106
53,11,50
53,12,86
53,13,85
53,14,154
53,15,149
53,16,50
53,17,130
53,18,109
53,19,88
53,20,19
53,21,212
53,22,171
53,23,45
53,24,54
53,25,57
53,26,33
53,27,167
53,28,84
53,29,141
53,30,81
53,31,144
53,32,113
53,33,182
53,34,69
53,35,75
53,36,91
53,37,9
53,38,103
53,39,143
53,40,94
53,41,101
53,42,81
53,43,126
53,44,199
53,45,78
53,46,45
53,47,55
53,48,114
53,49,85
53,50,122
53,51,123
53,52,62
54,0,48
54,1,57
54,2,27
54,3,59
54,4,61
54,5,30
54,6,51
54,7,21
54,8,15
54,9,64
54,10,37
54,11,30
54,12,32
54,13,46
54,14,63
54,15,46
54,16,19
54,17,58
54,18,54
54,19,41
54,20,11
54,21,60
54,22,64
54,23,34
54,24,36
54,25,29
54,26,17
54,27,66
54,28,39
54,29,54
54,30,46
54,31,61
54,32,45
54,33,59
54,34,36
54,35,33
54,36,36
54,37,7
54,38,44
54,39,64
54,40,45
54,41,60
54,42,40
54,43,64
54,44,64
54,45,41
54,46,23
54,47,25
54,48,43
54,49,28
54,50,60
54,51,57
54,52,30
54,53,59
55,0,121
55,1,117
55,2,42
55,3,104
55,4,103
55,5,40
55,6,97
55,7,20
55,8,17
55,9,138
55,10,78
55,11,35
55,12,70
55,13,71
55,14,103
55,15,101
55,16,44
55,17,91
55,18,83
55,19,69
55,20,16
